URL	Device	INP	CLS	LCP	Date
jjkellercompliancenetwork.com	mobile	89.91100889911009	91.24087591240875	89.46000000000001	2025-02-08
lakevillejournal.com	desktop	97.25027497250277	97.38	93.62	2025-02-08
lakevillejournal.com	mobile	95.19	97.44	97.14	2025-02-08
leaps.org	desktop	94.25201273169816	96.1340206185567	88.94637817497647	2025-02-08
leaps.org	mobile	85.81240609572869	98.37781266352695	92.78754132590916	2025-02-08
luzmedia.co	desktop	88.31	73.86	78.95	2025-02-08
luzmedia.co	mobile	91.83081691830816	83.15831583158317	79.12	2025-02-08
millertonnews.com	desktop				2025-02-08
millertonnews.com	mobile				2025-02-08
nofilmschool.com	desktop	89.66896689668967	66.25	93.84	2025-02-08
nofilmschool.com	mobile	85.15	70.32000000000001	92.57	2025-02-08
outvoices.us	desktop	93.26067393260674	98.19	90.15901590159017	2025-02-08
outvoices.us	mobile	88.55	94.70052994700532	89.14	2025-02-08
qc.rollingstone.com	desktop	92.07	78.61	80.52	2025-02-08
qc.rollingstone.com	mobile	93.75	89.31106889311069	91.46	2025-02-08
reliabilityweb.com	desktop	94.05	89.65	81.14	2025-02-08
reliabilityweb.com	mobile	89.07109289071093	89.14000000000001	75.58755875587559	2025-02-08
responsiblestatecraft.org	desktop	97.45	95.67	93.83938393839384	2025-02-08
responsiblestatecraft.org	mobile	93.4	98.06	91.74	2025-02-08
rm.powertofly.com	desktop				2025-02-08
rm.powertofly.com	mobile				2025-02-08
sanantonio.culturemap.com	desktop	96.91	90.4	79.51	2025-02-08
sanantonio.culturemap.com	mobile	92.55074492550746	98.98	80.0	2025-02-08
secondnexus.com	desktop				2025-02-08
secondnexus.com	mobile				2025-02-08
spectrum.ieee.org	desktop	95.07	78.86999999999999	88.46000000000001	2025-02-08
spectrum.ieee.org	mobile	87.19	84.42000000000002	83.64	2025-02-08
storeys.com	desktop	96.01	74.59	93.8993899389939	2025-02-08
storeys.com	mobile	93.22	96.88	92.8	2025-02-08
thefulcrum.us	desktop	92.08920892089208	97.4	94.34	2025-02-08
thefulcrum.us	mobile	86.41	95.84958495849584	93.93	2025-02-08
upworthyscience.com	desktop	85.85000000000001	86.45864586458646	94.8	2025-02-08
upworthyscience.com	mobile	74.22999999999999	95.27	88.59	2025-02-08
vault12.com	desktop	94.5994599459946	88.81111888811118	83.91999999999999	2025-02-08
vault12.com	mobile	79.39	95.43954395439545	89.65103489651035	2025-02-08
worldcrunch.com	desktop	91.7	89.8010198980102	82.52825282528254	2025-02-08
worldcrunch.com	mobile	89.61	93.06	89.28892889288927	2025-02-08
www.7x7.com	desktop	96.75	92.86071392860713	95.25952595259524	2025-02-08
www.7x7.com	mobile	95.13	96.1	94.97050294970504	2025-02-08
www.advocate.com	desktop	93.57	76.75000000000001	91.75	2025-02-08
www.advocate.com	mobile	93.14	82.39	90.15	2025-02-08
www.allbusiness.com	desktop	92.38076192380764	80.06	84.75	2025-02-08
www.allbusiness.com	mobile	86.88	94.28	90.98	2025-02-08
www.alternet.org	desktop	91.88	75.96000000000001	89.52895289528952	2025-02-08
www.alternet.org	mobile	89.95000000000002	82.65173482651734	93.38933893389338	2025-02-08
www.brit.co	desktop	87.97	84.28	80.73	2025-02-08
www.brit.co	mobile	88.26	81.10000000000001	91.77	2025-02-08
www.comicsands.com	desktop	81.55	94.15941594159416	95.61	2025-02-08
www.comicsands.com	mobile	81.02810281028104	76.75000000000001	95.21	2025-02-08
www.commondreams.org	desktop	97.3	97.46	92.77	2025-02-08
www.commondreams.org	mobile	96.55	97.6	90.73907390739076	2025-02-08
www.conservativereview.com	desktop	96.46035396460354	97.34026597340268	88.81888188818883	2025-02-08
www.conservativereview.com	mobile	88.5	77.21000000000001	80.45	2025-02-08
www.dailyclimate.org	desktop	98.11981198119813	98.45	93.81	2025-02-08
www.dailyclimate.org	mobile	95.42	92.17078292170784	91.38	2025-02-08
www.ehn.org	desktop	96.66	82.16	90.46	2025-02-08
www.ehn.org	mobile	95.11951195119512	96.7	93.33	2025-02-08
www.gbnews.com	desktop	76.06239376062395	79.17000000000002	85.53	2025-02-08
www.gbnews.com	mobile	61.13	73.29	72.75727572757276	2025-02-08
www.georgetakei.com	desktop				2025-02-08
www.georgetakei.com	mobile				2025-02-08
www.glennbeck.com	desktop	90.51	86.08860886088608	88.27000000000001	2025-02-08
www.glennbeck.com	mobile	92.87	96.48	89.52	2025-02-08
www.goalcast.com	desktop	88.58	91.6091609160916	91.05	2025-02-08
www.goalcast.com	mobile	79.01	81.28	86.49864986498649	2025-02-08
www.gopenske.com	desktop	94.44055594440556	90.9	85.92140785921407	2025-02-08
www.gopenske.com	mobile	92.2207779222078	86.26862686268628	89.25999999999999	2025-02-08
www.gzeromedia.com	desktop	93.21932193219322	90.82091790820918	92.19	2025-02-08
www.gzeromedia.com	mobile	85.11000000000001	93.9	87.02	2025-02-08
www.healthywomen.org	desktop	92.74	89.72	89.91899189918992	2025-02-08
www.healthywomen.org	mobile	85.18	83.43	89.26	2025-02-08
www.hivplusmag.com	desktop	91.85	83.13000000000001	86.61	2025-02-08
www.hivplusmag.com	mobile	82.49	82.37000000000002	86.19	2025-02-08
www.houstoncitybook.com	desktop	97.81	91.71	94.3105689431057	2025-02-08
www.houstoncitybook.com	mobile	92.88	99.75997599759977	95.03	2025-02-08
www.indy100.com	desktop	89.84	80.39	94.14	2025-02-08
www.indy100.com	mobile	78.03219678032195	78.65	90.2	2025-02-08
www.laverita.info	desktop	89.34	82.46175382461753	83.21	2025-02-08
www.laverita.info	mobile	68.96	95.83	89.25999999999999	2025-02-08
www.louderwithcrowder.com	desktop	96.42964296429642	88.14	91.67	2025-02-08
www.louderwithcrowder.com	mobile	95.85	89.5	90.03999999999999	2025-02-08
www.lovemeow.com	desktop	88.63	90.47095290470952	92.2007799220078	2025-02-08
www.lovemeow.com	mobile	82.18	81.93	92.68	2025-02-08
www.mtlblog.com	desktop	96.010398960104	76.68	92.69	2025-02-08
www.mtlblog.com	mobile	80.77	80.84	94.24	2025-02-08
www.myrecipemagic.com	desktop	93.21	96.95	83.67999999999999	2025-02-08
www.myrecipemagic.com	mobile	91.04	98.93	89.86000000000001	2025-02-08
www.narcity.com	desktop	95.42954295429544	73.9	91.77917791779178	2025-02-08
www.narcity.com	mobile	82.54174582541745	85.00999999999999	94.65946594659466	2025-02-08
www.nationalmemo.com	desktop	87.31	84.13000000000001	87.52000000000001	2025-02-08
www.nationalmemo.com	mobile	92.79	63.65	92.33	2025-02-08
www.newsworthy.org.au	desktop				2025-02-08
www.newsworthy.org.au	mobile				2025-02-08
www.okayafrica.com	desktop	93.27	90.44	90.47	2025-02-08
www.okayafrica.com	mobile	70.70707070707071	89.47	80.06199380061993	2025-02-08
www.okayplayer.com	desktop	92.03079692030798	93.85	83.30000000000001	2025-02-08
www.okayplayer.com	mobile	86.5	89.18	81.73	2025-02-08
www.out.com	desktop	91.15	84.16	90.14	2025-02-08
www.out.com	mobile	76.94	79.64796479647964	89.33	2025-02-08
www.outtraveler.com	desktop	93.65	79.14999999999999	92.28000000000002	2025-02-08
www.outtraveler.com	mobile	88.06	80.21000000000001	88.24	2025-02-08
www.panorama.it	desktop	90.59	75.75000000000001	89.16000000000001	2025-02-08
www.panorama.it	mobile	76.92230776922307	88.67	93.83	2025-02-08
www.papermag.com	desktop	94.62	81.74	92.76	2025-02-08
www.papermag.com	mobile	88.03999999999999	90.07000000000001	87.19128087191281	2025-02-08
www.penskelogistics.com	desktop	97.92	96.56965696569657	94.84	2025-02-08
www.penskelogistics.com	mobile	94.17	91.19	91.22	2025-02-08
www.pensketruckleasing.com	desktop	97.64	90.14098590140983	95.26047395260474	2025-02-08
www.pensketruckleasing.com	mobile	96.66	92.91	71.37286271372862	2025-02-08
www.pensketruckrental.com	desktop	88.33	76.82	89.58	2025-02-08
www.pensketruckrental.com	mobile	60.830000000000005	72.1	85.42000000000002	2025-02-08
www.penskeusedtrucks.com	desktop	93.2006799320068	79.22207779222079	86.09	2025-02-08
www.penskeusedtrucks.com	mobile	87.61	80.8980898089809	81.19	2025-02-08
www.premierguitar.com	desktop	94.3	45.79	87.64	2025-02-08
www.premierguitar.com	mobile	90.67906790679068	33.51	90.35	2025-02-08
www.pride.com	desktop	91.94080591940806	84.04	84.95	2025-02-08
www.pride.com	mobile	84.49	77.9022097790221	86.31	2025-02-08
www.publicscaleslocator.com	desktop	95.31	99.1	97.83978397839785	2025-02-08
www.publicscaleslocator.com	mobile	97.41	99.74	82.84	2025-02-08
www.rawstory.com	desktop	90.22097790220978	85.11	87.83999999999999	2025-02-08
www.rawstory.com	mobile	91.42	88.51	91.5	2025-02-08
www.rebelmouse.com	desktop	96.23	85.7	88.17	2025-02-08
www.rebelmouse.com	mobile	82.46824682468247	96.21	92.02	2025-02-08
www.ricoh-americalatina.com	desktop	95.22	94.6094609460946	85.82141785821418	2025-02-08
www.ricoh-americalatina.com	mobile	84.81000000000002	89.34000000000002	88.17	2025-02-08
www.southernthing.com	desktop	90.75	86.07860786078608	92.54	2025-02-08
www.southernthing.com	mobile	88.19	90.94	91.48	2025-02-08
www.theblaze.com	desktop	95.52	98.17	92.98	2025-02-08
www.theblaze.com	mobile	88.08	90.76	89.93100689931006	2025-02-08
www.theodysseyonline.com	desktop	78.95000000000002	75.51	88.26	2025-02-08
www.theodysseyonline.com	mobile	73.12	67.91	84.24000000000001	2025-02-08
www.upworthy.com	desktop	83.75	84.81	93.24	2025-02-08
www.upworthy.com	mobile	80.66806680668067	67.30000000000001	92.10921092109211	2025-02-08
www.vype.com	desktop	92.43	86.1	93.8006199380062	2025-02-08
www.vype.com	mobile	93.38	61.42	84.00999999999999	2025-02-08
www.workitdaily.com	desktop	89.4	80.5019498050195	83.04	2025-02-08
www.workitdaily.com	mobile	83.86	92.30923092309231	86.87	2025-02-08
www.xonecole.com	desktop	86.78867886788679	75.42754275427542	79.81	2025-02-08
www.xonecole.com	mobile	78.03999999999999	88.2	88.42	2025-02-08
nukta.com	desktop	94.86	70.29	72.74000000000001	2025-02-08
nukta.com	mobile	89.67	83.15	82.2117788221178	2025-02-08
